platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,num_attacked
tieba,gender,不知道吃那种清一色白色得那种食物的人生活得多不如意,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",25,0
tieba,gender,什么女用洗衣机，这就把我的臭袜子塞进去,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",19,1
zhihu,region,东北人声音比较明亮，可能是我们这边比较冷，所以说话底气可足了，感觉自信满满哈哈南方人说话比较温柔声线也挺好听，给人感觉很舒心很柔和～我倒是都很喜欢！但是作为东北人我尤其是喜欢浙江人的声音，真的是声线柔美气质佳～,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",105,0
zhihu,region,时代变了，谁还偷这玩意，费劲还不挣钱，假和尚在河南才多🤣🤣🤣🤣,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",47,1
zhihu,region,没那么宽容啊，歧视确实有啊，都承认，包括现在年轻一辈的人都带有隐形的歧视或者说优越感更贴切，但这网上也太夸大了吧，什么问个路被白眼，买个东西被白眼，我出门都不说上海话活了十几年也没碰到过这种事情啊😅让人讨厌的点就是这种玻璃心多想和跟风黑，包括外来人员很多确实素质不怎么样但总不能说他们破坏了城市规则还要本地人多么包容他们吧😢,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",168,1
zhihu,race,好图，我偷了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
tieba,lgbt,而且视频中对其他异性恋企鹅的描述也显示其别有用心,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",24,0
zhihu,race,卧槽，抓到了！🤔,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
zhihu,region,屏幕跟前我已经开始笑了，不好意思🤭,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",20,0
zhihu,race,本人确实不买这种商品！,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
zhihu,race,看这哥们的回答 他好像受到过什么刺激,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",18,0
zhihu,region,改变一个人的观念好比愚公移山，没有天神下凡这辈子也移不完。无需讨论，仁者见仁，有判断力的人不会地图炮,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",50,0
zhihu,race,主要是白女国男也娶不到啊,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",12,0
tieba,lgbt,这下总结的挺正确的捏,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
zhihu,region,违法不是犯罪,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
tieba,lgbt,异性恋属阳，是正常的，同性恋属阴，是不正常的,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",22,1
tieba,gender,谢谢ys让我更加坚定了单身下去的决心,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",18,1
zhihu,race,别说得好像中国男人很负责一样。忽悠自己是最大的傻,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",24,1
zhihu,region,心疼一下你，要被地域黑喷三回，第一次是你的户籍，第二次是你的祖籍，第三次他们就会骂你的的民族和宗教了,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",50,1
zhihu,region,新疆人被防着的是回纥，答主你们可是新疆的定海神针啊,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",25,0
zhihu,race,实话说吧，就是不行，说啥也不行，天王老子来了也是不行,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",26,0
tieba,lgbt,这个鸡佬，喜欢精神胜利，是一个辣鸡，真是笑死人,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",23,1
tieba,gender,怼女拳的角度多了图里这位说的跟你说的没有冲突,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",22,0
tieba,gender,真的牛批嗷,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",5,0
zhihu,race,你看评论，还不是说祖坟冒青烟，我觉得都差不多吧,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",23,0
zhihu,region,可不可以把江西也红了⁉,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",14,0
tieba,gender,我感觉正好相反，楼主应该多了解普通女生的诉求，少看一些极端言论,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",31,0
zhihu,race,以偏概全，就是你的思维方式？希望你早日脱离这种落后的思维方式，八婆其实也是一种落后的思维方式导致的行为方式。@百舸争流,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",59,0
zhihu,race,要不你和你老公说下，看看啥反应,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",15,0
tieba,gender,属于是因噎废食了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,gender,据说这是极端女权,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,gender,杀软谐音，狗才用,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
zhihu,race,更正下，最近几年。。。这输入法有点毛病,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",19,0
tieba,race,别哪天跳楼了。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
tieba,lgbt,支持正义执行！txl再不管管，气候变暖又要加重了。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",25,1
zhihu,race,是啊，针对中国女性。毕竟在韩国人眼里，就是因为中国女性倒贴拉低了亚裔女性的地位。😓,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 1, 1, 0, 0]",44,2
tieba,race,现在欧洲就是西欧北欧难民多,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",13,0
tieba,gender,我直接承认我不是男人,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",10,1
tieba,lgbt,您说的有点客观。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,race,黑人到底是发明了足球或者蹴鞠这项运动呢？还是参与了最初游戏规则的指定呢？都没有吧。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",41,0
zhihu,race,原来这就是传说中的冒充理中客，带歪不明辨是非的人呀😎,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",28,0
tieba,race,和我们有关系吗？兄弟,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
zhihu,region,我是四川人，当初我的舍友怀疑我是小偷,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",18,1
zhihu,race,悄悄，这位师爷就是装糊涂的高手！😄,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",20,0
tieba,race,无论如何也该管一管,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
zhihu,race,😆😆😆我也是在网络上看见好多中国男的找黑人结婚，找东南亚女的结婚,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",41,0
tieba,race,那还有假，这些黑醋最喜欢做的事就是伤害别人，干违法乱纪的事,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",29,1
tieba,race,黑色不符合中国人的审美观！！！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",15,1
tieba,gender,发不出来，感兴趣可以去知乎搜同名文章,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",18,0
tieba,lgbt,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 1, 0]",32,2
tieba,gender,处情的和处情的在一起其他人和其他人在一起互不相干多好。（这是一个理想状态，楼主他的假想也是他的理想状态，都不可能实现）,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",59,0
zhihu,region,我好奇的是山东人特别是高密人怎么看待莫言的作品。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",24,0
zhihu,race,每个在华黑人都会有3个以上的eg,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",16,2
tieba,lgbt,现在喜欢偷窥南人上厕所，真是从小边台到大。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",21,1
tieba,lgbt,最离谱的是冒着风险跟他媳妇儿pp还生孩子了他是什么nt这跟医院检查有什么关系他在不确定风险的情况下跟媳妇儿pp不就是对他媳妇儿的不尊重吗也没给他媳妇儿当个人啊他媳妇儿不过是个繁衍工具罢了吧不先想想能不能对得起媳妇儿紧着转移话题赶紧离了得了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",119,1
zhihu,region,所以你就黑上海😅,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",11,1
tieba,lgbt,这个鸡佬，喜欢精神胜利，是一个辣鸡,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",17,1
tieba,gender,吃饭也是人的弱点，要不咱饭也别吃了？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",18,0
tieba,gender,现在年轻人为了结婚，买房，买车，养孩子，掏空家里全部积蓄，阶级的固化让年轻人上升空间变的越来越小，大部分人都碌碌无为一辈子，生活压力巨大，越大型的城市压力越大，重压之下人本能的就会逃避，会不会变成日本那样，年轻人选择佛系生活，轻轻松松过一辈子。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",122,0
zhihu,race,当你扔出去一块砖头，狗叫了就说明砸到狗了😆所以如果问心无愧就不要对号入座,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",39,0
tieba,gender,就算y染色体消失了男性也不会消失，参考蜜蜂后来靠染色体倍数来区分性别，环境影响下，且不论人类能否延续到y染色体消失的时候，到时候基因的改变就不是依靠y来区分男女了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",81,0
zhihu,race,你以为非洲人来中国，都是非洲酋长？？？酋长很高大上？？相对于中国来说，酋长就是中国的村长，多的不说，很多非洲人在中国，都是靠着中国留学金才来的,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",71,1
tieba,race,如果真要追求真理那就是非常严格科学定义从来就不认它们是人类那么它们按照非常严格科学定义全球反它们救自家民族当然本身都没有错那么按非常严格科学定义它们不是人类那么更何谈重族毕竟放眼全球只要是人类都不希望家里时刻还要毁灭自己家与过和自家民族的野生动物存在嘛！对于它们根本不存在什么重族主义而是对于它们来说全球对于它们只存在对这一野生动物的生物物种彻底的正视。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",177,1
zhihu,race,我愿意，然后我压断ta的脖子,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",14,0
tieba,gender,这就有点病态了，,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
zhihu,region,抱歉，第一次听江北八市，能解释一下是什么地方吗？不然江西和安徽的人民没法嘲笑啊⁉,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",43,1
zhihu,region,明明是江浙沪被黑的最惨吧,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",12,1
zhihu,region,褐兰州，真的太酸了,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",9,1
zhihu,lgbt,同性恋所占人口比例甚至不需要查找专业的文献，百度什么的随便搜搜就有。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",34,0
tieba,gender,在中国同居，按照外国的法律来判，你去试试，你看大使馆理你不,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",29,0
tieba,gender,蓝鸟上骚女和菩萨被开除女籍了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",14,1
tieba,lgbt,别人不能定义性少数，那同性恋有什么资格给儿童定义？,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",25,1
zhihu,lgbt,真的有些腐癌还有喜欢基，雷百合的，还是好看的基，这也太双标了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 1, 0, 0, 0]",30,2
tieba,lgbt,给他脸了，这不110,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
zhihu,region,四年后的江西人默默走过，并给你点了个赞,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",19,0
zhihu,race,所以他们会在收到工资的接下来几天内不再来上班，专门花钱吗,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",28,0
tieba,race,图里都是外国7年级的学生，相当于12、13岁的小孩。请问这个金发双马尾戴眼镜白人小女孩的大概是哪个白人种族的，在白人里算漂亮吗？因为电影里都算是一群小孩子（13岁左右），所以应该都是素颜的，而且年龄太小也应该不会染发，金发是天然的。那这样的素颜天然长相在白人里算怎么样的（纯天然脸，不考虑和那些化了妆知不道真实相貌的人比）,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",161,0
zhihu,region,如果再加上你说你和你家人都信那啥教基本就是王炸了,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 0, 1, 0]",24,1
tieba,race,你踏嘛的是不是觉得你的白叠就应该理所当然的在那,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",23,1
zhihu,race,我怕得病😅真的怕,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 0, 1, 0]",11,1
zhihu,race,如果妹子嫁给黑人也可以要求买房买车要彩礼🐶,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 1, 0, 0]",26,2
zhihu,region,瑞典这个说法都说了是来自北京网友，又扯到南方去了，南方不能什么锅都给你们背吧,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",38,0
zhihu,region,第7条很逗逼😄,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,根据大数据所得，100%的女拳都是智商低劣，且具有严重基因缺陷的下等物种，来源《就你会编？》,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",46,1
zhihu,lgbt,没有基因倾向的人打死都扳不弯的,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",15,1
zhihu,race,都是些反华组织，可就是架不住有人会去听,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",19,0
tieba,gender,其实我一直觉得，在这个自然界之中，没有任何完全一样的人，在男性之中区别就很大了，有的男性可以做到总统有的男性只能做乞丐，每个人都是不一样的，更何况男女,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",75,0
tieba,gender,男人就该尊重女性,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
zhihu,race,气大活好哦，调侃一下,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,爱死你了，妹子。非你不娶了。你所列的条款我都接受并赞成。其中仅一条我不满意：我工资的90%给你用。这真不能接受。我强烈要求100%全部都给你。你要是嫌不够，我可以去赚外快补贴。就这样吧，你一定要修改这条，要不这婚我不会跟你结的！,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",114,1
zhihu,race,我们不歧视歪果仁，我们只是教化穷人,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",17,1
zhihu,region,谁也别说谁。现在有些苏北人在网上对江西的态度跟仇敌一样，已经见怪不怪了，有些甚至直接私信辱骂，还没见过地域黑能到这种程度的,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",61,1
zhihu,race,因为知乎上自称歧视黑人的中国南方人只嘴炮，现实见到黑人p不放一个，而白人歧视黑人不网上歧视，在现实见到黑人常常敢动手,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 0, 1, 0, 0]",58,2
zhihu,region,应该新疆切糕把新疆人名声败坏了吧,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",16,0
tieba,gender,不是说在意的只是态度吗？这态度不是有了吗？为啥还被骂？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",27,0
tieba,race,为什么一开始不报道？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,坏起来了兄弟们，原来真有荣誉女人,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",16,1
zhihu,race,微博拳师马上传送,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",8,1
tieba,gender,评论区更恶心，女权真是吃人不吐骨头！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",18,1
zhihu,lgbt,我最后确定我喜欢女生，是因为在我人生的前23年所接受的教育和理念形成了一种思维倾向，小说和电影只是我大脑信息长河中的一只蜉蝣，不足以撼动大树。我说的很明确了，假如我只是一个12.3岁刚刚对这个世界有所了解，三观尚在成长期的少年，日复一日、沉溺于同的作品，或许又是不同的结果,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",136,0
zhihu,race,一看性别还真是个女的，笑死🤭，咋了女的嫁过去就得那么做，不知好歹的,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",36,0
zhihu,race,中国女孩也有拒绝黑人的自由,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",13,0
zhihu,race,中国人的脸都被她们丢尽了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",12,1
zhihu,region,怎么不如啊，抖音只要是热一点河南文宣下面都有你们，都超领域了😓,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",34,0
tieba,gender,尬黑，意思是韩女正常哺乳都不行吗？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
zhihu,region,不知道看到多少说让上海人多死点大快人心的评论，到你这就是稍作讨论😜,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",36,1
tieba,race,表情写满了自豪,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
zhihu,region,是的，深以为然。。。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,双标给他玩明白了,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,race,看着没什么食欲==,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
zhihu,region,江西不配被黑,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",6,1
zhihu,region,虽然没这种担心，但我还是只敢去重庆,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
tieba,gender,你有钱的时候就会有了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
zhihu,race,原来竟然是同物种啊,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
tieba,gender,保护好自己的钱包和工作，发现问题能及时抽身，别让女人对自己有实质性伤害即可,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",37,0
tieba,race,我也有过好几个帖子没了，应该是他没跑了。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",20,0
tieba,gender,杀不尽的舔?,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",6,1
zhihu,race,狗咬狗中必须要分清谁咬的第一口？问题难道不是两边都是狗吗🤣,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",33,0
zhihu,race,上小网站看看视频。黑男黄女一大堆，铺天盖地。但是黄男黑女你能找到吗！你喜欢玩人猿泰山是你的事！别扯那么远好吗！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",55,2
tieba,gender,哎，这种的，一看就是没点脑子的，他也来喷我了。。看样子像女权派来的。。,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",35,0
zhihu,region,歧视的不是东北这块地方，是一部分东北人吧，我认识一个山东的不喜欢东北的，我还很奇怪山东东北不是一家亲吗,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",51,1
tieba,gender,建议国男们别在仙女朋友圈里出现,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",15,1
tieba,gender,Johnny特工镇楼，大家和谐幻想（讨论）,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",21,0
zhihu,region,还有我们🐶“江浙人种最高贵”（看不懂这句话语气是自黑还是嘲讽还是自以为是的就要来评论对枪的直接拉黑）,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",55,1
zhihu,race,说🐔不说8，文明你我他,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
zhihu,race,老外付1％的责任，锅女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是锅女帮他们买机票，办签证,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",59,2
zhihu,race,？OK，您待在自己的墙里就好了，我在长岛看得很开，也有外国女友。😄,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",36,0
tieba,gender,直男不会挑礼物不是很正常，男的一出生就要知道那些高端口红吗,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",29,0
zhihu,region,政策，tm的看个足球赛是互撕大战，山东葱，东北啥啥，什么都有。,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",31,0
zhihu,race,婚恋不可能平等,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
zhihu,race,道理很多人给你讲过了，你不听，我家族亲戚教育也不会出现你这种人所以我很小几率碰到，但阻拦不了我想暴打你一顿的欲望,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",56,0
tieba,lgbt,直佬日常迫害正常人,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",9,1
